iter	Passed	Remaining
419	2346	3240
420	2353	3236
421	2359	3231
422	2365	3226
423	2373	3223
424	2380	3220
425	2386	3215
426	2393	3211
427	2399	3206
428	2406	3202
429	2414	3200
430	2422	3198
431	2428	3193
432	2433	3186
433	2439	3181
434	2444	3174
435	2449	3168
436	2454	3161
437	2458	3154
438	2463	3148
439	2469	3142
440	2476	3138
441	2481	3133
442	2486	3126
443	2491	3120
444	2497	3114
445	2502	3108
446	2507	3101
447	2511	3094
448	2516	3088
449	2521	3082
450	2524	3073
451	2529	3066
452	2534	3059
453	2538	3053
454	2543	3046
455	2548	3039
456	2552	3033
457	2557	3026
458	2561	3019
459	2568	3015
460	2574	3010
461	2578	3003
462	2583	2996
463	2589	2990
464	2594	2984
465	2599	2978
466	2604	2972
467	2609	2966
468	2614	2960
469	2619	2954
470	2624	2948
471	2629	2941
472	2634	2934
473	2638	2928
474	2643	2921
475	2648	2915
476	2653	2909
477	2658	2902
478	2664	2898
479	2670	2893
480	2676	2887
481	2681	2882
482	2686	2875
483	2691	2869
484	2696	2863
485	2702	2857
486	2706	2851
487	2711	2845
488	2716	2838
489	2721	2832
490	2726	2826
491	2730	2819
492	2735	2813
493	2740	2806
494	2744	2800
495	2749	2793
496	2753	2787
497	2759	2781
498	2765	2776
499	2771	2771
500	2776	2765
501	2781	2759
502	2787	2754
503	2792	2747
504	2797	2742
505	2803	2736
506	2807	2730
507	2813	2724
508	2818	2718
509	2824	2713
510	2828	2707
511	2833	2700
512	2838	2694
513	2842	2688
514	2848	2682
515	2853	2676
516	2860	2672
517	2865	2666
518	2870	2660
519	2876	2654
520	2880	2648
521	2885	2642
522	2891	2636
523	2895	2630
524	2901	2624
525	2905	2618
526	2910	2612
527	2915	2606
528	2920	2600
529	2925	2594
530	2930	2588
531	2934	2581
532	2939	2575
533	2944	2569
534	2948	2562
535	2955	2558
536	2961	2553
537	2966	2547
538	2971	2541
539	2976	2535
540	2981	2529
541	2987	2524
542	2992	2518
543	2998	2513
544	3004	2508
545	3009	2502
546	3015	2497
547	3020	2491
548	3025	2485
549	3030	2479
550	3035	2473
551	3039	2467
552	3045	2461
553	3051	2456
554	3057	2451
555	3062	2445
556	3067	2439
557	3073	2434
558	3077	2428
559	3082	2422
560	3088	2416
561	3093	2410
562	3098	2404
563	3103	2398
564	3107	2392
565	3112	2386
566	3117	2380
567	3122	2374
568	3127	2368
569	3131	2362
570	3136	2356
571	3139	2349
572	3144	2343
573	3151	2338
574	3156	2333
575	3161	2327
576	3165	2320
577	3170	2315
578	3175	2309
579	3180	2302
580	3185	2297
581	3191	2291
582	3196	2286
583	3202	2281
584	3208	2275
585	3213	2270
586	3219	2265
587	3224	2259
588	3228	2253
589	3233	2246
590	3238	2240
591	3243	2235
592	3250	2231
593	3256	2225
594	3260	2219
595	3266	2213
596	3271	2208
597	3275	2202
598	3280	2196
599	3286	2191
600	3291	2185
601	3296	2179
602	3301	2173
603	3305	2167
604	3310	2161
605	3315	2155
606	3320	2149
607	3324	2143
608	3329	2137
609	3333	2131
610	3338	2125
611	3345	2121
612	3351	2115
613	3355	2109
614	3360	2104
615	3365	2097
616	3370	2092
617	3374	2086
618	3378	2079
619	3383	2073
620	3388	2068
621	3394	2062
622	3398	2056
623	3403	2051
624	3409	2045
625	3413	2039
626	3419	2034
627	3423	2028
628	3428	2022
629	3432	2016
630	3438	2010
631	3446	2006
632	3451	2001
633	3456	1995
634	3461	1989
635	3466	1983
636	3471	1978
637	3476	1972
638	3480	1966
639	3486	1961
640	3490	1955
641	3496	1949
642	3500	1943
643	3505	1937
644	3510	1932
645	3516	1926
646	3521	1921
647	3525	1915
648	3530	1909
649	3536	1904
650	3543	1899
651	3547	1893
652	3552	1887
653	3558	1882
654	3563	1877
655	3568	1871
656	3573	1865
657	3578	1860
658	3583	1854
659	3589	1848
660	3594	1843
661	3599	1837
662	3604	1832
663	3609	1826
664	3614	1821
665	3619	1815
666	3624	1809
667	3628	1803
668	3635	1798
669	3641	1793
670	3646	1788
671	3651	1782
672	3656	1776
673	3661	1770
674	3666	1765
675	3671	1759
676	3676	1753
677	3680	1748
678	3685	1742
679	3690	1736
680	3695	1731
681	3700	1725
682	3705	1719
683	3709	1713
684	3715	1708
685	3719	1702
686	3724	1696
687	3730	1691
688	3736	1686
689	3741	1680
690	3746	1675
691	3751	1669
692	3756	1663
693	3760	1658
694	3765	1652
695	3770	1646
696	3775	1641
697	3781	1635
698	3786	1630
699	3791	1624
700	3796	1619
701	3802	1614
702	3807	1608
703	3812	1602
704	3817	1597
705	3821	1591
706	3827	1586
707	3834	1581
708	3838	1575
709	3843	1570
710	3849	1564
711	3853	1558
712	3858	1553
713	3863	1547
714	3867	1541
715	3872	1535
716	3877	1530
717	3882	1524
718	3887	1519
719	3892	1513
720	3896	1507
721	3901	1502
722	3906	1496
723	3911	1491
724	3915	1485
725	3921	1479
726	3927	1474
727	3933	1469
728	3938	1464
729	3943	1458
730	3948	1453
731	3953	1447
732	3957	1441
733	3962	1436
734	3968	1430
735	3973	1425
736	3979	1419
737	3984	1414
738	3989	1409
739	3995	1403
740	4000	1398
741	4005	1392
742	4010	1387
743	4015	1381
744	4021	1376
745	4028	1371
746	4032	1365
747	4037	1360
748	4043	1354
749	4048	1349
750	4053	1343
751	4058	1338
752	4062	1332
753	4067	1327
754	4072	1321
755	4077	1315
756	4082	1310
757	4086	1304
758	4092	1299
759	4097	1293
760	4101	1288
761	4107	1282
762	4112	1277
763	4117	1272
764	4124	1267
765	4129	1261
766	4134	1255
767	4139	1250
768	4144	1244
769	4148	1239
770	4153	1233
771	4158	1228
772	4164	1222
773	4168	1217
774	4173	1211
775	4178	1206
776	4184	1200
777	4189	1195
778	4194	1189
779	4199	1184
780	4204	1178
781	4209	1173
782	4216	1168
783	4221	1163
784	4226	1157
785	4231	1152
786	4236	1146
787	4241	1141
788	4246	1135
789	4251	1130
790	4256	1124
791	4261	1119
792	4265	1113
793	4270	1108
794	4275	1102
795	4280	1096
796	4285	1091
797	4290	1085
798	4294	1080
799	4299	1074
800	4304	1069
801	4310	1064
802	4315	1058
803	4319	1053
804	4324	1047
805	4329	1042
806	4334	1036
807	4339	1031
808	4344	1025
809	4348	1020
810	4354	1014
811	4359	1009
812	4364	1003
813	4370	998
814	4375	993
815	4381	987
816	4386	982
817	4391	977
818	4396	971
819	4400	965
820	4405	960
821	4410	955
822	4416	949
823	4421	944
824	4426	939
825	4431	933
826	4436	928
827	4441	922
828	4446	917
829	4451	911
830	4456	906
831	4460	900
832	4465	895
833	4470	889
834	4475	884
835	4480	878
836	4485	873
837	4489	867
838	4494	862
839	4500	857
840	4507	852
841	4512	846
842	4517	841
843	4522	835
844	4527	830
845	4532	825
846	4536	819
847	4541	814
848	4546	808
849	4551	803
850	4556	797
851	4562	792
852	4568	787
853	4573	781
854	4578	776
855	4584	771
856	4590	765
857	4595	760
858	4602	755
859	4608	750
860	4612	744
861	4617	739
862	4622	733
863	4627	728
864	4632	723
865	4637	717
866	4642	712
867	4647	706
868	4651	701
869	4656	695
870	4661	690
871	4666	684
872	4670	679
873	4675	674
874	4680	668
875	4685	663
876	4689	657
877	4695	652
878	4702	647
879	4707	641
880	4712	636
881	4718	631
882	4722	625
883	4727	620
