iter	Logloss
0	0.6411910383
1	0.5978033068
2	0.5609025697
3	0.5300102382
4	0.5031074956
5	0.4825808346
6	0.4626660402
7	0.4473737622
8	0.4348206325
9	0.4227463028
10	0.4123533393
11	0.4033158448
12	0.3948019427
13	0.3879542675
14	0.3816898859
15	0.3760610163
16	0.3710061779
17	0.3663499453
18	0.3621961306
19	0.3587911263
20	0.3557210951
21	0.35271691
22	0.3498049519
23	0.347271399
24	0.3445447514
25	0.3423795891
26	0.3401584528
27	0.3384650018
28	0.3366328931
29	0.3347877744
30	0.3332489879
31	0.3318119528
32	0.3302311074
33	0.3290217209
34	0.3279294675
35	0.326976645
36	0.3260262593
37	0.3248822978
38	0.3240188489
39	0.3231094537
40	0.322170634
41	0.3213285137
42	0.3204616323
43	0.3196726725
44	0.3189380332
45	0.3180474089
46	0.3174867148
47	0.3168415235
48	0.3163566182
49	0.3157741004
50	0.3152762215
51	0.314746697
52	0.3143085354
53	0.3138723768
54	0.3134818554
55	0.3129574133
56	0.3124113508
57	0.3119336982
58	0.3115129754
59	0.3110113314
60	0.3105814927
61	0.3102457451
62	0.3097878865
63	0.3093928567
64	0.3089917829
65	0.3087051646
66	0.3084465138
67	0.3080479528
68	0.3076150771
69	0.307320529
70	0.3070790091
71	0.3068028928
72	0.3065052708
73	0.3062570146
74	0.305899194
75	0.3055546894
76	0.3053506725
77	0.3049109959
78	0.3046882637
79	0.3044857216
80	0.3040810181
81	0.3038402902
82	0.3036119237
83	0.3034045903
84	0.3031737193
85	0.3029574207
86	0.3026098717
87	0.3024264661
88	0.3021599566
89	0.3019934217
90	0.3018052128
91	0.3016405587
92	0.301447115
93	0.3011766881
94	0.3010078705
95	0.300896004
96	0.3007262096
97	0.3004781686
98	0.3001361851
99	0.2999863947
100	0.2998425128
101	0.2997384762
102	0.2995582328
103	0.2993526567
104	0.2991987224
105	0.2990776342
106	0.2989954207
107	0.2988360859
108	0.2986107247
109	0.2984763004
110	0.2983187767
111	0.2981720966
112	0.298047103
113	0.2978915698
114	0.2977552594
115	0.2976255541
116	0.2974922595
117	0.2974445292
118	0.297361488
119	0.2971634877
120	0.297053559
121	0.2967915294
122	0.2966315496
123	0.2963802562
124	0.2962533364
125	0.2960272116
126	0.2959180868
127	0.2958104172
128	0.2956814732
129	0.2956226813
130	0.2955045239
131	0.2952126467
132	0.2951226374
133	0.2949869416
134	0.2948256331
135	0.2947026607
136	0.2945458442
137	0.2944218686
138	0.2943479238
139	0.2942308454
140	0.2940890174
141	0.2939341163
142	0.2938456594
143	0.2937703601
144	0.2936620817
145	0.2935393985
146	0.2934198369
147	0.293287145
148	0.2932138964
149	0.2931094371
150	0.2929294736
151	0.2928322542
152	0.2926793668
153	0.2926043743
154	0.2924929573
155	0.2924153133
156	0.292315427
157	0.292215396
158	0.2921420084
159	0.2920182015
160	0.2918919167
161	0.2918199612
162	0.291719415
163	0.2915714217
164	0.2914227866
165	0.2913384067
166	0.2912821906
167	0.2912050699
168	0.2911170698
169	0.2910328203
170	0.2909088779
171	0.2907721433
172	0.2906866636
173	0.2905904698
174	0.290487325
175	0.2903866709
176	0.2902813677
177	0.2901042941
178	0.2900138329
179	0.289849949
180	0.2897368776
181	0.2896608074
182	0.2895956653
183	0.2894950653
184	0.2894211055
185	0.2893179385
186	0.2892750929
187	0.2891898512
188	0.2890797979
189	0.2889641743
190	0.2888353103
191	0.288730743
192	0.2886668971
193	0.2886247613
194	0.2885221916
195	0.2884306858
196	0.2883279298
197	0.2882588593
198	0.2881474004
199	0.2880580542
200	0.2879538182
201	0.2877924311
202	0.2877011629
203	0.2875132845
204	0.2874334383
205	0.2873708433
206	0.2873193592
207	0.2872570066
208	0.2871824019
209	0.2870501575
210	0.2869387111
211	0.2867767788
212	0.2867235754
213	0.2866207
214	0.2865083754
215	0.2863456153
216	0.2862058098
217	0.2861163163
218	0.2860305655
219	0.2859493058
220	0.2858718172
221	0.2857895051
222	0.2857248506
223	0.2856510575
224	0.2855894221
225	0.2855291439
226	0.2854612563
227	0.2853853385
228	0.2852841097
229	0.2852151749
230	0.2851384555
231	0.2850808824
232	0.2850139458
233	0.2849132514
234	0.2848340884
235	0.2847755698
236	0.2847326184
237	0.2846094463
238	0.2845523777
239	0.2844260338
240	0.2843383091
241	0.2842605164
242	0.2842075462
243	0.2841557379
244	0.2839791446
245	0.2838847443
246	0.283784426
247	0.2836345346
248	0.2835555806
249	0.2834447554
250	0.2833791123
251	0.283316878
252	0.2832496089
253	0.2831885104
254	0.2830894045
255	0.2829892332
256	0.2829032508
257	0.2827993006
258	0.2827180943
259	0.28263512
260	0.2825702647
261	0.2825069009
262	0.2823859998
263	0.2822881539
264	0.282251087
265	0.2821682331
266	0.2821198073
267	0.2820162266
268	0.2819604988
269	0.2818823964
270	0.2818093583
271	0.2816841251
272	0.2816166214
273	0.2815438379
274	0.2814349156
275	0.281335043
276	0.2812411879
277	0.2812002077
278	0.281122994
279	0.2810335549
280	0.2809572096
281	0.2809087808
282	0.2808234871
283	0.2807522831
284	0.2806488687
285	0.2805912315
286	0.2804996946
287	0.2804188702
288	0.2803433278
289	0.2802879111
290	0.2802268191
291	0.2801118965
292	0.2800479659
293	0.2799878077
294	0.2798702542
295	0.2797678513
296	0.2797039104
297	0.2796338587
298	0.2795688527
299	0.2794819219
300	0.2794058865
301	0.2793479685
302	0.2792628942
303	0.2791522467
304	0.2790877102
305	0.2790330672
306	0.2789495622
307	0.2788876485
308	0.2787816402
309	0.2787074772
310	0.2785370542
311	0.2783958863
312	0.2783446654
313	0.2782637355
314	0.2781406833
315	0.2780486466
316	0.2779672758
317	0.2778720372
318	0.2778024682
319	0.2777444822
320	0.2776844074
321	0.2776053771
322	0.277480944
323	0.2774366179
324	0.2773771971
325	0.2773141199
326	0.2772422489
327	0.2771541506
328	0.2770450737
329	0.2769035201
330	0.2767509213
331	0.276713027
332	0.2766779825
333	0.2766211086
334	0.2765188101
335	0.2764775696
336	0.2764087866
337	0.2763290672
338	0.2762376599
339	0.2761861067
340	0.2761352928
341	0.2760564481
342	0.2759712152
343	0.2758829705
344	0.2758114235
345	0.2757520751
346	0.2757019135
347	0.2755995106
348	0.275536848
349	0.275490505
350	0.2754682767
351	0.2754092544
352	0.2753514697
353	0.2752774229
354	0.2751965374
355	0.2751162329
356	0.2750707399
357	0.2749699523
358	0.2748898226
359	0.2748447221
360	0.2747660491
361	0.2746614449
362	0.2745729076
363	0.2745369022
364	0.2743901786
365	0.2743306433
366	0.2742550082
367	0.2741828213
368	0.2741455794
369	0.274037651
370	0.2739329106
371	0.2739172562
372	0.2738434545
373	0.2737617819
374	0.273697488
375	0.27364558
376	0.2736035977
377	0.2735508022
378	0.2735253665
379	0.2734577259
380	0.2733750056
381	0.2732571068
382	0.2731607166
383	0.273111208
384	0.2730688705
385	0.2729782786
386	0.2728808837
387	0.2728008629
388	0.272740402
389	0.2726726017
390	0.2725859992
391	0.2725319447
392	0.2724606006
393	0.2724005781
394	0.2723063602
395	0.2723000898
396	0.2722607332
397	0.2722377938
398	0.2721742601
399	0.2721165121
400	0.272045787
401	0.2720237978
402	0.271976625
403	0.2719478841
404	0.2718827005
405	0.2718183151
406	0.2717215928
407	0.271674872
408	0.2716207774
409	0.2715768784
410	0.2715146088
411	0.2713878041
412	0.2712860403
413	0.2712441484
414	0.2711516645
415	0.271076503
416	0.2709975988
417	0.2709082885
418	0.2708642916
419	0.270802681
420	0.2707153449
421	0.270660521
422	0.2705566006
423	0.2704990987
424	0.2704295391
425	0.2703769218
426	0.2702793837
427	0.270180723
428	0.2701076871
429	0.2700322885
430	0.2699557935
431	0.2698764133
432	0.269832239
433	0.2697324696
434	0.269667197
435	0.2696109978
436	0.2695695108
437	0.2695414342
438	0.2694661966
439	0.2694176924
440	0.2693381683
441	0.2692596942
442	0.2691879613
443	0.2691328773
444	0.2690870649
445	0.26903363
446	0.268972593
447	0.2688981237
448	0.2688656181
449	0.2688038273
450	0.2688038188
451	0.2687281293
452	0.2686716779
453	0.2686241522
454	0.2685678735
455	0.2684997159
456	0.2683953911
457	0.2683287727
458	0.268272773
459	0.2681851464
460	0.2680834951
461	0.2680525388
462	0.2680161987
463	0.2679352071
464	0.267828517
465	0.2677649182
466	0.2676978072
467	0.2676466482
468	0.2675963795
469	0.2675330741
470	0.2674761176
471	0.2674172725
472	0.2673599731
473	0.2673248762
474	0.2672461559
475	0.2671891915
476	0.2671091857
477	0.2670219755
478	0.2669692772
479	0.2669034926
480	0.2667927367
481	0.2666878843
482	0.2666127267
483	0.2665276382
484	0.2664419743
485	0.2663798473
486	0.2663125027
487	0.2662414031
488	0.2661803196
489	0.2660976791
490	0.2660331201
491	0.2660008471
492	0.2659506188
493	0.2658761175
494	0.2658066097
495	0.2657380986
496	0.2656874504
497	0.265604609
498	0.2655191122
499	0.2654767752
500	0.2654297739
501	0.2653904609
502	0.2653351216
503	0.2652593293
504	0.2651794498
505	0.2651287484
506	0.2650810359
507	0.2650182032
508	0.264973914
509	0.2649182052
510	0.2648505656
511	0.2647976411
512	0.2647274336
513	0.2646977016
514	0.2646155962
515	0.2644919692
516	0.2644312314
517	0.2643957488
518	0.2643564776
519	0.2642845843
520	0.2642487107
521	0.2641594427
522	0.2641027655
523	0.2640615888
524	0.2640039443
525	0.263968275
526	0.2638863074
527	0.2638352593
528	0.2637967199
529	0.2637383948
530	0.2636679279
531	0.2635620153
532	0.2634962831
533	0.2634585695
534	0.2634337614
535	0.2633625494
536	0.2632743428
537	0.2632324461
538	0.2631432234
539	0.2631155336
540	0.2630879922
541	0.2630050729
542	0.2629528872
543	0.2628864773
544	0.2628150592
545	0.2627948988
546	0.2627388247
547	0.2626922007
548	0.2626089574
549	0.2625484619
550	0.2624920837
551	0.2624543348
552	0.2623942064
553	0.2623272204
554	0.2622581462
555	0.2622195166
556	0.2621830391
557	0.2621439607
558	0.2621180312
559	0.2620224884
560	0.2619674182
561	0.261912686
562	0.2618575004
563	0.2618136269
564	0.2617722946
565	0.2617435251
566	0.2617101405
567	0.2616656647
568	0.2615922729
569	0.2615119951
570	0.2614445986
571	0.2614446623
572	0.2614402279
573	0.2614181503
574	0.2613696853
575	0.261323623
576	0.2612522732
577	0.261230702
578	0.2611829689
579	0.2611429866
580	0.2610460685
581	0.2609833231
582	0.2609330582
583	0.2608565317
584	0.2607653876
585	0.2607243057
586	0.2606170657
587	0.2605658718
588	0.2605097155
589	0.2604487179
590	0.2603954953
591	0.2603549809
592	0.2603057835
593	0.2602300471
594	0.2601545698
595	0.2601070402
596	0.2600592294
597	0.2600588519
598	0.2600121447
599	0.2599861278
600	0.2599358251
601	0.2598828731
602	0.2598826059
603	0.259882381
604	0.2598189524
605	0.2597655661
606	0.2597126865
607	0.2596508585
608	0.2596490333
609	0.2595955203
610	0.2595467536
611	0.2595218326
612	0.2594608167
613	0.2594098294
614	0.2593243099
615	0.2593240809
616	0.2592880852
617	0.2592434162
618	0.259243412
619	0.2592193234
620	0.2591676366
621	0.2591205784
622	0.2591203321
623	0.2590494521
624	0.2589960474
625	0.2589504791
626	0.2589020082
627	0.2588406264
628	0.25880391
629	0.2587683241
630	0.2587181962
631	0.258664456
632	0.2586080932
633	0.2585722338
634	0.2585220003
635	0.2584913737
636	0.2584237274
637	0.2583965055
638	0.2583475081
639	0.2583005816
640	0.2582781095
641	0.2582536365
642	0.2581959228
643	0.2581589695
644	0.2581051747
645	0.2580452248
646	0.2579955897
647	0.2579377363
648	0.2578698676
649	0.2578158899
650	0.257761048
651	0.2577200086
652	0.2576806931
653	0.2576190497
654	0.2575859724
655	0.2575231718
656	0.2574558545
657	0.2573989643
658	0.2573328112
659	0.257270819
660	0.257206204
661	0.2571731014
662	0.2571304892
663	0.2570845905
664	0.2570089212
665	0.2569744537
666	0.2569210744
667	0.2568598943
668	0.2568129317
669	0.2567698182
670	0.2567250882
671	0.2567048167
672	0.2566444501
673	0.2565672359
674	0.256491064
675	0.256426708
676	0.2563696668
677	0.2563348595
678	0.2562887413
679	0.2562359104
680	0.2561833363
681	0.2561646593
682	0.2560445668
683	0.2559905883
684	0.2558979322
685	0.2558635704
686	0.2558149712
687	0.2557816826
688	0.2557024935
689	0.2557022901
690	0.2556427268
691	0.2556004653
692	0.2555758555
693	0.2554912629
694	0.2554434441
695	0.2554089647
696	0.2553592982
697	0.2552988332
698	0.2552623717
699	0.2551967285
700	0.2551593737
701	0.2551218464
702	0.255065269
703	0.2550340183
704	0.2549719104
705	0.2549308087
706	0.2548932041
707	0.2548331005
708	0.2547679577
709	0.2547287371
710	0.2546608171
711	0.254660635
712	0.2546186373
713	0.2545819329
714	0.2545469836
715	0.2544847106
716	0.2544560388
717	0.2544066024
718	0.2543591201
719	0.2543134334
720	0.2542822825
721	0.2542303131
722	0.2542141719
723	0.2541774844
724	0.2541412333
725	0.2540987431
726	0.254064788
727	0.2539890957
728	0.2539096924
729	0.2538848277
730	0.2538430518
731	0.2537867507
732	0.2537544576
733	0.2536731196
734	0.2536527489
735	0.2536005374
736	0.2535487845
737	0.2535112859
738	0.2534724235
739	0.2534353473
740	0.2533962784
741	0.2533530253
742	0.2532961826
743	0.2532775736
744	0.2532528508
745	0.25321279
746	0.2531889879
747	0.2531661023
748	0.2531461872
749	0.253107679
750	0.2530491456
751	0.2529799436
752	0.2529596133
753	0.2529051061
754	0.2528780597
755	0.2528341444
756	0.2528057604
757	0.2527565359
758	0.2527160259
759	0.2526820112
760	0.252619313
761	0.2525652771
762	0.2525290861
763	0.2524599218
764	0.252416672
765	0.2523693185
